,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.5614610851804416,0.7872333333333333,8.709475994110107,9.020005941390991,0.01,100,True
1,1,2,0.3831090202430884,0.8593666666666666,8.283232688903809,17.380176067352295,0.01,100,True
2,1,3,0.35171970436970396,0.87105,8.463856935501099,25.90991735458374,0.01,100,True
3,2,1,0.5661359545588494,0.785,8.278818607330322,8.373669385910034,0.01,100,False
4,2,2,0.40112183352311453,0.84945,8.424324750900269,16.858824729919434,0.01,100,False
5,2,3,0.36317619423071545,0.8622333333333333,9.058987617492676,25.993795156478882,0.01,100,False
6,3,1,1.0540634204943975,0.5959166666666667,7.708903551101685,8.247813701629639,0.01,1000,True
7,3,2,0.5820426563421885,0.7785333333333333,8.334114789962769,16.642022848129272,0.01,1000,True
8,3,3,0.4748097638289134,0.8244166666666667,7.683992624282837,24.38647699356079,0.01,1000,True
9,4,1,0.968991873661677,0.6319333333333333,7.403071641921997,7.9268858432769775,0.01,1000,False
10,4,2,0.52397780418396,0.79875,7.344036340713501,15.331851720809937,0.01,1000,False
11,4,3,0.4402185782790184,0.8386833333333333,8.39153265953064,23.78848385810852,0.01,1000,False
12,5,1,0.7807010438044866,0.7042333333333334,9.012921571731567,9.113939046859741,0.001,100,True
13,5,2,0.5120852310458819,0.8046666666666666,10.084964036941528,19.280466556549072,0.001,100,True
14,5,3,0.43163565166294576,0.8413666666666667,9.278232097625732,28.62259864807129,0.001,100,True
15,6,1,0.8051496629416942,0.6980333333333333,9.035252094268799,9.139413118362427,0.001,100,False
16,6,2,0.5221979828675588,0.80535,9.084866762161255,18.29102373123169,0.001,100,False
17,6,3,0.4456894761820634,0.8366833333333333,10.556105852127075,28.911044597625732,0.001,100,False
18,7,1,1.6974037220080693,0.39543333333333336,10.92432713508606,11.659544706344604,0.001,1000,True
19,7,2,0.8164896090825399,0.6904333333333333,9.090986728668213,20.81381630897522,0.001,1000,True
20,7,3,0.6715042342742285,0.7381833333333333,8.72876262664795,29.607709646224976,0.001,1000,True
21,8,1,1.5332285831371943,0.4916333333333333,9.310939073562622,9.966213941574097,0.001,1000,False
22,8,2,0.7260346710681915,0.7152666666666667,8.96388864517212,18.997440814971924,0.001,1000,False
23,8,3,0.6300127218166988,0.7500166666666667,8.192878484725952,27.259042024612427,0.001,1000,False
